,Prediction,Won_Series,Seed_Diff,Pyt_Win_Pct_Diff,eFG..Misc,TOV..Misc,ORB..Misc,FT.FGA.Misc,Opp.eFG..Misc,Opp.TOV..Misc,DRB..Misc,eFG..Misc_._Opponent,TOV..Misc_._Opponent,ORB..Misc_._Opponent,FT.FGA.Misc_._Opponent,Opp.eFG..Misc_._Opponent,Opp.TOV..Misc_._Opponent,DRB..Misc_._Opponent,Opp.FT.FGA.Misc_._Opponent,id
50,True,1,3,0.0909090909090909,0.474,13.1,29.2,0.251,0.47600000000000003,14.1,72.3,0.506,14.5,26.5,0.193,0.488,12.9,75.5,0.19,/teams/IND/2012.htmlFirst
51,True,1,3,0.146341463414634,0.502,13.5,35.5,0.24100000000000002,0.489,16.4,67.7,0.498,13.8,31.0,0.27899999999999997,0.48700000000000004,13.9,68.7,0.25,/teams/SEA/1993.htmlFirst
52,True,1,3,0.12195121951219501,0.518,14.0,33.0,0.282,0.48200000000000004,13.0,68.9,0.496,14.1,38.3,0.237,0.498,16.0,65.3,0.271,/teams/LAL/1989.htmlSemifinals
53,True,1,7,0.24390243902439002,0.51,14.8,32.3,0.33399999999999996,0.47100000000000003,13.5,71.0,0.496,14.8,29.8,0.251,0.499,13.3,69.3,0.20800000000000002,/teams/UTA/1998.htmlFirst
54,True,1,5,0.31707317073170693,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.489,15.9,33.3,0.248,0.499,15.5,70.6,0.282,/teams/MIL/1986.htmlFirst
55,True,1,4,0.0975609756097561,0.484,12.7,30.6,0.24100000000000002,0.44299999999999995,13.4,73.1,0.491,15.2,29.3,0.217,0.45399999999999996,15.7,70.5,0.245,/teams/LAL/2000.htmlSemifinals
56,True,1,7,0.207317073170732,0.49700000000000005,12.4,27.9,0.231,0.467,13.6,71.7,0.47200000000000003,15.4,33.5,0.29100000000000004,0.484,15.9,71.7,0.28600000000000003,/teams/SAC/2002.htmlFirst
57,True,1,5,0.12195121951219501,0.49,14.3,29.5,0.26,0.47700000000000004,15.0,73.2,0.48700000000000004,12.9,28.5,0.196,0.483,14.0,69.6,0.193,/teams/UTA/2000.htmlFirst
58,True,1,3,0.0487804878048781,0.473,13.3,25.9,0.248,0.461,13.9,74.0,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,/teams/DET/2003.htmlSemifinals
59,True,1,3,0.23170731707317102,0.524,14.0,31.1,0.228,0.484,11.7,76.0,0.502,12.0,20.6,0.21100000000000002,0.504,12.8,76.2,0.198,/teams/OKC/2016.htmlFirst
60,True,1,4,0.0731707317073171,0.46799999999999997,14.7,31.2,0.262,0.46,14.5,72.5,0.46799999999999997,12.1,30.8,0.213,0.47600000000000003,13.3,73.2,0.212,/teams/PHI/2001.htmlSemifinals
61,True,1,7,0.158536585365854,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.467,14.2,30.5,0.245,0.48100000000000004,15.6,69.3,0.221,/teams/MIN/2004.htmlFirst
62,True,1,5,0.17073170731707302,0.46799999999999997,13.8,28.7,0.252,0.46,15.7,73.1,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,/teams/NJN/2003.htmlFirst
63,True,0,2,0.0121951219512195,0.49700000000000005,12.4,27.9,0.231,0.467,13.6,71.7,0.498,11.8,28.8,0.218,0.45299999999999996,13.0,72.0,0.233,/teams/SAC/2002.htmlFinals
64,True,1,3,0.0365853658536586,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.21899999999999997,/teams/PHO/2010.htmlFirst
65,True,1,4,0.26829268292682895,0.501,13.5,29.4,0.22699999999999998,0.46299999999999997,13.6,76.2,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.21100000000000002,/teams/CHI/2011.htmlSemifinals
66,True,1,5,0.21951219512195103,0.551,13.4,22.7,0.215,0.49200000000000005,13.6,71.9,0.511,14.3,26.1,0.249,0.5,13.5,72.3,0.262,/teams/PHO/2007.htmlFirst
67,True,0,3,0.0487804878048781,0.507,16.0,37.4,0.213,0.48700000000000004,15.2,67.4,0.483,15.8,29.0,0.257,0.469,15.7,65.3,0.23800000000000002,/teams/HOU/1985.htmlFirst
68,True,1,2,0.158536585365854,0.521,12.8,34.7,0.225,0.488,15.3,68.8,0.474,13.1,34.7,0.245,0.46399999999999997,12.8,71.0,0.248,/teams/CHI/1991.htmlFinals
69,True,1,5,0.08,0.486,12.8,28.7,0.253,0.46,12.7,69.9,0.489,14.3,29.0,0.222,0.46299999999999997,16.0,67.6,0.275,/teams/IND/1999.htmlFirst
70,True,1,4,0.109756097560976,0.502,14.5,31.7,0.28300000000000003,0.496,14.4,75.1,0.512,14.1,25.6,0.215,0.506,16.1,69.6,0.264,/teams/UTA/2007.htmlSemifinals
71,True,1,4,0.073170731707317,0.491,13.2,33.6,0.253,0.516,17.0,66.1,0.483,15.8,29.0,0.257,0.469,15.7,65.3,0.23800000000000002,/teams/DEN/1985.htmlSemifinals
72,True,1,7,0.182926829268293,0.473,13.3,35.7,0.21899999999999997,0.457,14.7,70.6,0.46299999999999997,12.9,36.7,0.253,0.499,16.7,66.4,0.258,/teams/CHI/1998.htmlFirst
73,True,1,7,0.0975609756097561,0.525,12.9,26.3,0.256,0.485,12.9,73.4,0.51,12.9,25.5,0.26899999999999996,0.499,14.1,72.1,0.203,/teams/LAL/2008.htmlFirst
74,True,1,5,0.23170731707317102,0.49700000000000005,14.2,35.4,0.258,0.467,16.1,65.6,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257,/teams/MIL/1985.htmlFirst
75,True,1,2,0.0609756097560976,0.47600000000000003,13.4,29.2,0.20600000000000002,0.45899999999999996,14.9,71.6,0.47600000000000003,12.8,24.1,0.223,0.46399999999999997,15.1,72.9,0.245,/teams/NJN/2002.htmlFinals
76,True,1,7,0.158536585365854,0.513,12.3,29.4,0.23,0.49,14.2,73.0,0.504,13.6,28.2,0.27399999999999997,0.505,15.0,72.7,0.262,/teams/LAL/2009.htmlFirst
77,True,1,3,0.109756097560976,0.5,13.2,33.0,0.261,0.474,12.8,68.3,0.489,14.5,34.4,0.22399999999999998,0.469,14.7,66.9,0.22,/teams/LAL/1991.htmlFirst
